url_path,views_total,views_unique
/microsoft/power-pages-samples,117,85
/microsoft/power-pages-samples/tree/main/samples,66,40
/microsoft/power-pages-samples/tree/main/samples/bring-your-own-code/react,49,22
/microsoft/power-pages-samples/tree/main/samples/bring-your-own-code,43,27
/microsoft/power-pages-samples/tree/main/samples/bring-your-own-code/react/car-sales-website,38,22
/microsoft/power-pages-samples/tree/main/samples/bring-your-own-code/react/fluent-ui-sample,37,17
/microsoft/power-pages-samples/tree/main,18,10
/microsoft/power-pages-samples/blob/main/samples/bring-your-own-code,17,16
/microsoft/power-pages-samples/tree/main/samples/server-logic/sharepoint-integration,16,15
/microsoft/power-pages-samples/tree/main/samples/bring-your-own-code/react/credit-cards-website,16,10
